	206615	206614	206617	206619	206616	206618	206621	206622	206620	206624	206623	206626	206625	206628	206627	206630	206629	206636	206635	206644	206643	206645	206646	206648	206647	206656	206655	206657	206658	206659	206660	206667	206668	206670	206669	206671	206672	206673	206676	206675	206677	206678	206681	206682	206684	206683	206695	206700	206757	206758	206702	206701	206708	206709	206746	206747	206704	206703	206753	206752	206711	206710	206713	206712	206719	206718	206720	206721	206723	206724	206726	206725	206728	206727	206730	206729	206732	206731	206754	206734	206733	206739	206738	206741	206740	206742	206743	206750	206751	206756	206755	206762	206761	206767	206766	206769	206768	206770	224330	224327	224328	224325	224326	224324	224323	206536	206538	206534	215050	215023	206548	206547	206562	206561	206564	206563	206570	206569	215067	206571	206603	206572	206604	206605	206608	206609	215085	215084	214995	214994	215004	215003	215008	215007	215010	215009	215049	215048	215056	215055	215058	215057	215061	215062	215075	215076	215080	215074	215077	222170	222171	224844	224845	219633	219634	219637	219638	219643	219644	219646	219645	219652	219651	219659	219653	219654	219693	219656	219655	219657	219658	219668	219670	219669	219675	219676	219691	219692	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq10	69	37	0	47	0	33	0	0	0	0	0	27	37	37	0	0	21	0	120	0	23	0	0	70	137	23	0	0	0	37	0	354	0	551	0	353	67	0	33	0	30	62	114	7	57	108	27	3537	2071	2060	0	13	2068	530	377	376	74	49	21	0	2499	992	94	464	832	697	72	24	0	454	156	73	246	259	993	1942	0	0	0	746	506	158	322	19	32	0	0	0	0	224	455	437	592	571	1395	0	0	279	201	303	259	0	0	65	151	41	24	32	34	0	72	996	0	0	0	0	0	0	0	526	918	1792	28	79	49	70	0	86	156	199	0	0	122	148	0	0	0	0	590	2173	0	0	0	0	97	123	607	278	99	0	0	0	0	0	0	0	2885	71	2792	2683	2655	0	33	145	2333	1774	2894	76	653	10730	245	356	0	0	293	864	173	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
seq11	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	86	0	0	0	0	0	0	785	1428	0	86	869	616	812	485	143	22	0	0	0	0	1005	383	216	0	0	0	0	0	81	0	0	3418	4432	0	0	0	37	601	279	359	234	395	286	0	0	717	816	418	572	32	0	0	0	156	132	1079	571	0	0	109	220	236	0	0	412	416	229	257	0	0	0	0	0	0	210	180	0	0	0	0	9423	2457	0	0	262	275	38	56	0	0	0	0	0	0	0	1274	0	75	730	350	226	64	0	54	12	480	547	2298	1318	262	792	4313	4445	0	126	191	462	1314	1286	0	28	0	0	343	712	327	253	0	0	393	51	90	70	341	460	767	0	57	0	1149	301	4228	140	498	0	118	0	0	0	0	97	302	0	0	0	260	1201	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	inulinivorans
seq12	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	82	0	10	815	0	0	0	0	72	0	42	145	0	0	0	0	0	0	0	0	0	0	0	98	200	43	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	219	1122	1207	58	62	340	300	2730	1924	0	6	0	16	377	310	0	0	0	0	316	312	135	3321	2958	1339	1029	1330	870	9710	9639	0	0	2325	2231	0	0	0	0	0	0	0	246	0	0	2241	2502	82	87	1692	633	1628	1902	551	0	0	0	0	0	0	30	32	337	0	0	0	0	0	499	425	582	460	0	0	23	190	0	0	0	0	0	314	0	0	266	388	107	63	572	471	293	0	0	0	0	85	342	0	0	0	103	595	0	0	0	588	634	210	433	202	46	0	0	0	0	0	148	462	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq13	122	22	291	604	0	89	0	1100	0	18	0	0	0	0	0	16	0	0	464	45	162	89	905	79	219	0	20	863	455	455	616	0	0	0	0	0	0	143	95	230	0	126	0	0	1983	2326	0	0	0	0	0	0	0	0	0	0	148	228	136	164	2430	2128	219	228	0	0	2399	2284	4	45	0	0	1739	1597	0	0	22	28	69	876	859	269	222	772	502	898	1581	793	687	1180	985	0	0	298	650	0	0	196	79	1147	1124	1099	617	18	0	35	31	41	14	0	0	0	65	92	203	873	68	85	97	0	0	0	53	97	434	301	67	124	182	315	0	16	696	495	509	736	0	199	604	1122	229	432	77	36	393	237	1104	322	838	754	1550	360	143	508	219	0	30	387	324	1842	3425	271	415	32	405	257	0	392	430	0	0	0	78	64	104	113	1154	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq14	1487	616	0	0	0	0	0	0	0	0	0	0	0	0	0	14	62	14	234	1386	1973	0	254	113	1324	0	26	438	327	2411	191	0	0	828	0	0	0	0	145	0	0	113	0	0	58	409	0	2243	1930	4511	0	0	844	638	978	1199	2448	982	468	399	347	156	155	996	674	748	586	384	0	0	52	62	294	276	0	0	0	0	480	177	254	280	363	288	196	0	61	1145	1503	423	981	87	88	113	228	0	0	1036	16	0	32	487	660	0	0	693	631	864	0	0	0	0	0	0	0	0	74	56	173	143	410	670	145	174	441	240	416	385	198	189	0	20	40	51	253	163	0	0	0	116	263	480	54	71	0	0	127	0	0	0	59	33	30	3703	6585	0	0	63	498	0	0	15	22	0	51	36	0	0	0	0	0	0	150	210	0	41	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
seq15	224	62	84	531	0	29	0	42	0	0	0	0	22	0	0	274	654	79	780	0	0	0	0	1495	994	36	55	468	138	328	346	0	0	1357	0	2117	1703	614	1348	214	351	233	131	0	0	0	55	0	0	0	0	0	855	472	338	221	319	156	137	101	192	85	211	632	346	219	301	160	0	52	417	309	33	38	0	0	275	299	1711	453	311	548	402	686	281	531	249	601	668	0	0	349	362	257	401	8	0	0	484	58	108	141	393	254	303	0	0	0	0	0	28	0	196	159	0	411	78	66	150	55	197	196	141	144	105	230	0	0	9	0	18	54	0	0	87	33	0	0	0	0	219	141	127	123	456	2365	98	129	1242	0	73	461	1147	118	29	0	1836	1410	3015	0	0	862	2376	0	0	0	0	529	783	0	0	0	245	2422	29	109	5813	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	longicatena
seq16	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	1197	933	0	688	0	0	0	1415	252	238	0	41	0	32	0	0	51	0	0	0	0	0	110	60	0	0	57	0	0	151	288	0	0	2119	1141	0	0	1473	0	1335	701	672	311	0	87	5255	2805	597	930	738	0	167	0	0	0	899	1338	0	0	0	0	338	227	1581	384	134	2369	1191	134	139	269	110	0	0	0	0	512	659	801	2567	0	10	0	156	80	115	0	0	0	0	227	87	0	320	40	0	122	192	157	0	109	104	0	0	0	200	103	8	0	109	0	0	81	0	0	0	0	80	337	0	68	0	147	1195	994	0	95	0	0	314	0	497	1447	3327	0	0	0	253	32	24	0	617	339	4180	448	372	0	117	0	0	0	0	546	796	0	0	0	0	352	0	0	356	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	hadrus
seq17	0	0	0	0	0	0	22	3863	0	0	0	0	0	0	0	0	0	0	0	4017	7515	0	0	0	0	0	394	0	0	0	0	1103	186	0	0	0	0	0	0	0	0	0	0	0	2350	1896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	670	4761	0	4238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq18	0	0	0	174	0	80	0	0	0	0	0	0	0	0	0	967	735	0	0	0	0	0	788	216	726	0	0	648	454	164	114	0	0	1285	0	0	0	817	159	175	23	124	242	0	107	135	0	0	0	0	0	0	248	56	1053	679	1499	1137	1226	456	0	0	394	319	905	577	373	459	0	0	235	199	0	0	0	0	785	826	2483	0	0	2647	933	2184	1165	1388	569	0	0	369	586	709	594	203	670	0	0	465	433	40	80	0	203	496	1029	257	68	341	554	0	0	0	436	223	0	111	0	0	40	0	0	0	0	0	95	100	90	77	636	382	0	0	33	200	213	112	0	163	1732	1539	0	358	238	171	0	0	385	732	1396	0	0	46	294	89	33	0	42	1227	2611	240	414	1435	1608	0	0	0	0	0	53	0	0	0	0	0	0	0	248	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	
seq19	760	181	24	529	0	46	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	140	1565	0	0	0	0	0	0	0	0	0	0	2541	0	1076	329	0	0	0	0	0	432	126	0	0	0	1165	1160	1613	0	0	13	46	465	242	925	742	0	0	2889	2531	116	104	0	0	2416	2823	0	0	751	348	83	50	0	0	0	0	0	90	104	124	211	684	597	1117	601	0	0	0	0	0	0	0	0	0	17	246	1064	0	60	461	391	0	0	267	157	213	1080	1185	182	269	434	741	0	0	780	608	1131	35	120	0	0	0	0	0	0	0	939	806	0	0	21	185	0	0	0	0	0	0	0	0	0	0	0	0	427	161	457	0	0	0	0	0	0	0	0	1423	63	0	13	2444	1774	0	605	1160	0	0	0	0	0	0	2347	2892	209	179	0	0	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	invisus
