	206615	206646	206648	206647	206659	206660	206667	206671	206672	206673	206700	206757	206758	206702	206701	206708	206709	206746	206747	206720	206721	206724	206728	206727	206734	206733	206750	206751	206756	206755	206767	206766	206768	224327	224328	206536	206538	206534	215050	215023	206548	206547	206562	206561	206564	206563	206570	206569	215067	206604	206605	206608	206609	215085	215084	214995	214994	215075	215076	219633	219634	219638	219653	219654	219693	219668	219675	219676	219691	206657	206658	206704	206703	206753	206752	206711	206710	206719	206718	206726	206725	206730	206729	206739	206738	206741	206740	206742	206743	224324	224323	215003	215008	215007	215010	215009	215048	215056	215055	215058	215057	215074	215077	222170	222171	224844	224845	219652	219651	219656	219655	219657	206622	206630	206629	206635	206644	206643	206670	206676	206675	206677	206678	206684	206683	206713	206712	206732	206731	206754	206762	206761	206770	224330	224325	224326	206571	206603	206572	215061	215062	215080	219643	219644	219646	219645	219670	219669	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq10	27	0	9	29	14	0	126	112	22	0	541	363	346	0	2	488	123	77	98	12	6	72	40	50	140	87	0	0	35	72	191	253	0	57	40	13	15	8	9	0	45	316	0	0	0	0	0	0	0	20	27	16	25	0	57	42	71	19	24	0	0	898	560	538	1644	356	99	186	60	0	0	17	9	1	0	505	215	187	232	35	11	540	546	33	92	7	7	0	0	12	27	0	60	37	0	0	0	181	631	0	0	160	23	0	0	0	0	0	4	32	160	2851	0	0	20	25	0	9	99	20	0	20	17	9	18	27	122	0	0	0	111	108	52	37	0	0	166	177	604	0	0	152	14	639	662	643	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
seq11	0	0	181	307	251	98	57	0	0	298	0	593	743	0	0	0	9	112	70	5	0	0	185	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	71	202	67	50	12	237	180	694	514	164	569	1108	1357	0	0	0	25	363	0	0	0	0	0	0	0	173	162	90	61	68	51	0	0	100	173	40	30	0	0	78	114	53	69	0	0	7	15	109	89	109	329	259	11	0	0	122	131	27	19	53	130	168	175	0	26	38	76	0	0	0	81	0	0	0	0	186	128	0	0	0	13	177	187	20	41	47	58	36	1791	507	48	40	0	10	3	119	110	96	74	948	38	113	71	238	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	inulinivorans
seq12	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	621	543	0	0	500	427	0	0	0	0	0	530	346	419	350	101	0	0	0	0	0	0	4	5	67	0	0	166	185	341	334	0	0	118	129	0	0	31	100	58	31	0	0	0	0	0	0	61	56	208	215	12	12	642	594	74	65	0	0	245	261	271	244	2008	1946	15	21	152	0	0	0	0	141	0	0	79	64	0	0	0	0	32	66	110	143	0	0	0	0	45	0	183	0	0	0	47	95	24	89	0	0	80	80	45	61	23	0	0	0	56	368	395	0	0	0	37	24	80	179	0	0	0	35	84	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq13	67	154	20	40	149	103	0	0	0	45	0	0	0	0	0	0	0	0	0	459	410	8	313	270	156	159	121	117	243	178	106	137	0	247	197	10	22	9	2	0	0	0	19	44	195	236	17	19	20	34	33	123	123	43	78	65	94	83	62	143	76	13	96	72	0	0	25	26	317	190	105	38	62	36	29	490	495	0	0	0	0	0	0	47	56	148	144	194	323	4	0	13	332	123	107	143	85	186	336	85	75	186	191	535	628	139	33	55	83	169	104	0	766	8	0	108	26	42	0	51	121	0	38	425	501	63	55	5	4	16	0	0	35	19	188	94	0	0	0	27	13	290	94	89	490	779	28	20	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq14	723	49	25	270	751	35	0	0	0	0	341	340	765	0	0	185	162	192	298	109	74	0	63	38	31	49	177	294	84	183	37	40	0	0	8	206	345	219	0	0	0	0	0	0	0	0	14	12	38	70	52	133	108	244	280	57	51	0	0	1149	2285	0	10	9	0	0	0	10	0	89	78	616	259	93	75	78	36	156	255	10	9	0	0	63	89	65	40	0	9	0	0	16	15	12	60	33	0	0	29	76	105	0	0	0	23	17	7	2	4	0	0	0	0	7	60	55	720	483	135	71	0	0	40	18	78	31	252	0	0	76	28	17	193	3	83	112	50	72	219	14	34	36	8	111	0	0	39	48	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
seq15	110	0	348	184	103	71	0	629	641	157	0	0	0	0	0	215	100	73	54	47	29	9	4	8	75	55	113	130	0	0	90	76	0	13	22	0	0	0	0	0	16	0	69	89	0	110	17	7	37	62	49	30	84	0	0	3	0	99	600	51	9	622	0	0	0	0	12	20	1711	99	43	70	42	30	24	34	18	91	65	88	62	0	0	97	113	135	67	104	56	50	79	45	0	0	15	1	0	0	0	64	22	76	258	0	32	184	242	217	483	230	176	0	26	148	626	167	0	0	253	710	119	181	93	0	0	58	164	46	60	308	87	66	0	103	19	69	16	28	64	37	51	24	372	693	0	0	70	477	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	longicatena
seq16	0	283	54	43	0	0	19	0	0	38	0	378	177	0	0	343	0	266	171	25	0	0	0	0	66	22	0	0	0	0	282	496	10	19	21	71	49	0	57	6	0	37	68	88	0	25	25	0	0	3	0	32	0	0	58	0	0	85	0	5	8	185	0	0	0	0	0	0	110	0	8	188	87	0	16	1044	639	190	0	190	269	0	0	426	306	29	35	50	23	0	0	0	46	92	0	13	50	376	272	0	11	869	739	0	0	0	51	0	25	233	207	0	0	636	873	144	0	0	0	34	0	0	29	34	68	150	243	56	46	310	131	140	0	28	0	0	0	31	35	0	0	105	93	938	116	77	0	78	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	hadrus
seq17	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2823	0	2870	0	0	0	0	0	0	0	0	2723	0	0	0	2196	1889	0	0	0	0	0	521	419	1461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	153	0	0	0	0	0	22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq18	0	141	42	139	40	22	0	0	0	236	0	0	0	0	0	61	11	212	178	73	80	0	0	0	0	0	0	0	76	106	60	119	0	9	11	75	39	94	121	0	0	0	168	126	0	32	0	0	6	0	0	23	45	56	59	179	114	0	0	29	12	12	0	0	0	0	0	0	61	124	129	361	308	244	83	0	0	229	175	54	44	0	0	471	241	443	335	282	137	99	230	0	13	53	52	20	73	542	412	0	60	424	323	0	0	23	75	337	342	0	15	0	0	507	699	0	0	0	264	83	101	10	47	27	29	87	85	164	183	473	186	140	75	102	0	45	0	0	0	75	73	88	313	626	57	106	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	
seq19	376	309	0	0	0	0	0	325	106	0	170	213	246	0	0	3	11	84	76	436	541	0	12	5	9	18	0	0	0	0	0	0	16	0	18	95	86	49	215	196	121	73	141	449	0	0	132	112	228	0	0	0	0	0	0	222	252	0	0	0	0	0	134	349	0	0	67	38	0	0	0	235	201	0	0	559	624	0	0	149	50	0	0	15	47	158	186	223	132	0	0	0	13	57	0	0	0	0	0	0	0	93	85	0	0	0	0	504	342	0	0	0	0	0	0	54	0	0	465	0	0	0	0	0	0	26	26	0	0	0	0	0	47	247	73	54	11	20	0	0	0	102	333	16	0	4	649	566	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	invisus
