	206615	206646	206648	206647	206659	206660	206667	206671	206672	206673	206700	206757	206758	206708	206709	206746	206747	206720	206721	206724	206728	206727	206734	206733	206750	206751	206756	206755	206767	206766	224327	224328	206536	206538	206534	215050	215023	206547	206562	206561	206563	206570	206569	215067	206604	206605	206608	206609	215084	214995	214994	215075	215076	219633	219634	219638	219653	219654	219693	219675	219676	219691	206657	206658	206704	206703	206753	206752	206711	206710	206719	206718	206726	206725	206729	206739	206738	206741	206740	206742	206743	224324	224323	215008	215007	215010	215009	215048	215056	215055	215058	215057	215074	215077	222170	222171	224844	224845	219652	219651	219656	219655	219657	206622	206630	206635	206644	206643	206670	206676	206677	206678	206684	206683	206713	206712	206732	206731	206754	206762	206761	206770	224330	224325	224326	206571	206603	206572	215061	215062	215080	219643	219644	219646	219645	219670	219669	Kingdom	Phylum	Class	Order	Family	Genus	Species
Otu0010	0	420	54	49	10	1	27	1	0	39	0	408	181	453	112	341	230	28	15	0	41	26	157	59	12	21	33	34	491	625	14	25	65	55	56	81	6	76	77	98	36	18	8	26	5	7	30	39	81	14	15	118	101	7	13	257	0	0	0	0	0	110	1	10	216	130	42	13	1326	819	318	346	199	273	0	499	354	24	54	82	38	22	22	52	116	27	15	115	537	358	16	18	1156	918	0	0	83	85	9	24	307	200	1	0	1022	179	0	0	0	51	33	37	25	50	152	257	77	48	463	249	191	42	29	2	6	41	41	31	57	69	212	133	1641	167	135	56	77	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes
Otu0011	33	4	0	0	0	0	25	255	185	0	2009	2	2	10	5	13	15	23	27	109	245	231	73	62	0	0	2	1	331	138	0	1	454	397	281	0	2	47	0	0	4	0	0	0	0	49	0	0	183	39	32	4	5	0	10	0	200	58	0	4001	3381	39	0	0	8	11	2	2	1	4	0	1	83	206	108	1	17	1	6	0	11	0	8	1	5	0	1	70	120	99	0	1	7	2	0	0	20	17	0	1	13	10	0	0	43	1	1	0	5	62	54	0	0	0	50	57	2	0	254	6	5	1	0	6	3	0	3	3	0	0	0	5	2	0	2	2	0	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium
Otu0012	0	290	22	8	191	294	135	672	749	115	0	1	0	196	391	220	141	499	502	52	50	53	912	756	126	110	306	287	127	144	110	89	15	9	22	55	107	0	49	113	3	32	16	18	73	20	237	275	404	1	0	103	86	63	27	6	238	165	86	89	108	65	26	45	90	123	60	114	38	29	373	283	136	100	0	245	170	8	0	217	424	73	49	25	34	2	10	70	24	26	6	3	0	0	158	75	26	29	16	41	39	17	0	167	37	153	493	279	3	412	0	36	15	2	40	107	89	69	122	0	18	6	11	363	177	245	176	109	1	7	330	35	1	298	345	18	24	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides
Otu0013	89	200	17	0	186	220	1	0	0	504	2965	0	1	11	13	16	16	242	217	35	17	22	67	77	75	66	364	344	29	24	332	237	0	1	4	2	0	1	216	348	87	81	57	57	145	67	270	220	583	203	139	19	18	122	65	51	129	92	0	47	86	44	0	0	166	191	225	233	11	15	0	1	56	33	0	50	85	198	163	154	81	2	2	249	221	23	40	161	255	518	23	53	0	1	145	234	19	6	57	69	75	73	0	1114	7	85	699	256	0	325	4	49	127	58	114	84	31	17	23	1	0	106	6	392	520	71	50	45	48	32	201	80	9	0	0	18	18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides
Otu0014	0	70	219	93	0	0	59	0	0	15	0	1	0	275	163	0	0	297	309	51	281	322	464	365	121	114	75	99	122	116	233	169	4	3	0	104	5	0	112	55	234	32	17	13	15	6	41	36	35	0	0	0	0	117	137	53	0	0	0	368	73	579	57	90	36	25	28	45	61	77	2	0	89	103	0	38	23	43	44	16	12	11	18	12	10	62	38	37	0	0	92	59	61	70	5	34	96	117	18	64	26	40	0	3	0	28	0	0	1	225	0	0	96	71	5	3	56	39	3	34	5	155	3	107	101	98	187	90	43	76	3	57	16	110	227	30	78	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-004
Otu0015	662	331	0	4	0	0	0	431	182	0	232	213	42	1	11	115	90	464	568	0	22	9	13	18	4	1	4	0	0	0	4	10	107	112	75	255	236	156	156	407	1	143	120	281	1	0	0	0	0	267	252	0	0	2	0	12	180	400	1	53	2	0	0	1	235	218	0	0	612	601	2	0	166	60	0	58	85	157	188	202	126	0	0	11	55	0	1	0	0	0	0	0	114	107	0	0	0	0	574	358	0	0	0	0	0	47	0	0	504	0	1	0	0	0	29	24	0	0	0	77	105	58	225	363	282	11	22	6	0	0	110	357	14	0	3	757	625	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister
Otu0016	54	0	17	19	11	2	147	144	33	1	643	391	355	540	115	60	82	31	2	178	38	47	154	124	0	1	44	75	251	255	315	246	18	17	11	10	0	667	0	0	0	0	0	0	16	33	15	28	58	48	83	23	29	0	0	1223	642	532	1892	81	203	65	0	0	9	12	5	5	662	287	205	234	20	12	814	32	104	5	11	1	11	7	33	82	50	0	0	0	213	602	0	0	186	24	0	0	0	0	3	2	34	161	3527	0	0	22	4	5	111	30	25	39	16	20	23	89	0	1	0	139	100	49	46	0	0	214	201	745	0	1	136	22	921	671	576	9	6	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_ge	Lachnospiraceae_ge
Otu0017	183	0	598	374	113	74	10	1000	1270	187	0	0	0	185	109	70	53	48	23	20	5	7	68	47	129	149	0	1	112	72	11	16	3	0	0	1	0	3	71	95	108	17	19	42	111	53	51	96	3	2	1	101	666	38	14	611	0	1	2	7	24	1921	109	37	81	43	20	22	34	24	81	58	75	60	0	78	132	143	89	135	53	50	82	0	0	13	8	0	0	0	80	26	84	302	7	29	287	309	188	590	256	186	4	29	183	159	2	3	289	1160	259	151	33	108	50	165	61	44	386	87	66	15	106	24	63	20	32	70	44	55	29	406	1084	0	0	60	474	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea
Otu0018	14	8	0	9	0	2	166	25	7	14	560	1539	1653	8	3	64	50	3	1	16	33	14	1	4	49	3	0	5	139	146	13	24	83	252	114	2	0	471	0	0	87	1	4	1	0	38	9	2	187	52	33	42	30	12	23	0	3	11	34	1490	1075	107	0	2	32	96	19	23	7	17	59	40	21	31	813	10	7	2	1	11	41	1	5	87	108	3	39	22	23	11	1	0	166	100	10	1	1	4	5	7	24	11	390	3	42	33	25	16	6	1	229	26	3	2	31	16	1	7	54	3	1	68	0	26	4	47	30	38	8	14	139	7	32	3	3	6	18	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella
Otu0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	1	0	0	0	0	0	0	1505	1436	1441	379	1797	0	0	0	0	0	0	0	2020	2571	288	203	451	0	0	0	0	0	0	127	0	0	0	33	89	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	414	462	0	0	348	337	0	0	0	0	0	0	0	0	172	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	3	1	0	0	0	0	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	Sutterella
