Sample	Discarded pairs	Combined outie pairs	Combined innie pairs	Uncombined pairs
215067_merged	0.0	1072.0	49463.0	502.0
215074_merged	0.0	1381.0	16217.0	240.0
215075_merged	0.0	443.0	46462.0	237.0
215076_merged	0.0	780.0	40369.0	195.0
215077_merged	0.0	628.0	46567.0	201.0
215080_merged	0.0	632.0	52008.0	424.0
215084_merged	0.0	1373.0	13692.0	271.0
215085_merged	0.0	7316.0	10193.0	259.0
219633_merged	0.0	2269.0	31451.0	220.0
219634_merged	0.0	3551.0	27398.0	375.0
219637_merged	0.0	41.0	216.0	93.0
219638_merged	0.0	139.0	32011.0	197.0
219643_merged	0.0	754.0	40053.0	325.0
219644_merged	0.0	1715.0	48859.0	257.0
219645_merged	0.0	215.0	51578.0	245.0
219646_merged	0.0	1148.0	43919.0	220.0
219651_merged	0.0	384.0	56473.0	446.0
219652_merged	0.0	517.0	49402.0	355.0
219653_merged	0.0	1586.0	41163.0	449.0
219654_merged	0.0	1384.0	33743.0	253.0
219655_merged	0.0	254.0	46017.0	189.0
219656_merged	0.0	3615.0	21937.0	208.0
219657_merged	0.0	762.0	38489.0	268.0
219658_merged	0.0	40.0	2101.0	25.0
219659_merged	0.0	23.0	4606.0	48.0
219668_merged	0.0	10057.0	1575.0	311.0
219669_merged	0.0	1510.0	53551.0	421.0
219670_merged	0.0	2563.0	34490.0	314.0
219675_merged	0.0	506.0	37282.0	269.0
219676_merged	0.0	453.0	47073.0	263.0
219691_merged	0.0	2368.0	33431.0	218.0
219692_merged	0.0	15.0	374.0	174.0
219693_merged	0.0	2905.0	16339.0	208.0
222170_merged	0.0	946.0	14382.0	369.0
222171_merged	0.0	2031.0	25280.0	222.0
224323_merged	0.0	340.0	44758.0	200.0
224324_merged	0.0	810.0	55167.0	245.0
224325_merged	0.0	628.0	59420.0	414.0
224326_merged	0.0	310.0	73237.0	408.0
224327_merged	0.0	116.0	58626.0	339.0
224328_merged	0.0	75.0	60221.0	260.0
224330_merged	0.0	1198.0	49204.0	299.0
224844_merged	0.0	3636.0	23653.0	155.0
224845_merged	0.0	1585.0	48185.0	285.0
